,Tweet,User - Location,User - Followers,Classificacao,Sentimento,NaiveBayes
2591,acord jos mar trindad patrimoni declar brun cov 105 mil seri declar iss seri tse acredit car ja deput engenh cl med fez salari liter queim,"Detroit, EUA ",17844,Negativo,0,Negativo
1330,pendenc cpf pod ser regular canal virtual correca gratuit internet cust 7 real cas contribuint opt utiliz red conveni cartori,Brasil ,8,Positivo,1,Positivo
2469,#impostoeroub ksksksk roub roub band comunidad prefir band menos bem aplic,"Maricá, Brasil",26,Negativo,0,Negativo
563,hom q ocup carg q investig poli corrupt sao indic ele jus so func q quer and corret,"Bahia, Brasil",1648,Neutro,2,Negativo
2082,hoj tod serv govern cort mai min coniv tud aind fal instituico brasil sao fort pal pi pront,"São Paulo, Brasil",235,Negativo,0,Negativo
984,in with the historic seizur of 3 ton of cocain in theof sant the drug wa concealed in aluminum coil destined count on s continued support,Oostenrijk,676,Positivo,1,Neutro
1417,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,,12,Positivo,1,Positivo
1949,apreend 575 50 kg cocain port paranagu quart apreensa realiz soment me dezembr saib mais #rfb #apreensa #paranagu #adu #acoesdareceit #receitafeder,,1157,Positivo,1,Positivo
820,vi notic program irpf ja disponi por dia tent baixal consig fac,São Vicente - SP,9,Negativo,0,Negativo
3047,encontr sit carn lea 2021 download pod ajud,,16,Negativo,0,Negativo
1308,ola tud bom enorm trist inform agor faz part pod mant individu ach pirat alg crimin desej tod sort nov jorn att diret,,902,Neutro,2,Neutro
1255,ignoranc,,176,Neutro,2,Neutro
1339,pass ladra tir presid empr vend lobby ver orig des fortun,,538,Neutro,2,Neutro
2316,pag dev feder dinh dar invest hospit,                              ,1918,Neutro,2,Neutro
2560,man vou cheg voad q porr,"Boa Vista, Brasil",494,Negativo,0,Negativo
2451,realiz pag despach postal tributaco sit correi min tutor proced pag brasil importaca pass fiscalizaca aduan cobr algum tax despach postal r$15 tributaca,,932,Neutro,2,Neutro
951,hahah conteud pod ajud pag hein olh torc dand retorn tod esforc ador trabalh,São Paulo/Brazil,367,Neutro,2,Negativo
470,tax 60% importaca vc sab cobr bem mesm tax abusiv cl med tb quant canalh hein,,15,Negativo,0,Negativo
1071,candidat presidenc cam autu 1 9 milha 2009 pag impost period acus mp oper esquem alago #portalgp1 #gp1 #receitafeder,Teresina-PI,4264,Positivo,1,Neutro
184,olh cois dem cont fiscalizaca 1 me mei aduan curitib precis me fiscal livr cont diss embal molh mof livr envolv,Rio de Janeiro,135,Negativo,0,Negativo
1856,feder polic ministeri publ deflagr hoj 12/01 79a fas operaca lav jat denomin operaca vernissag saib mais #receitafeder #fiscalizaca #lavajat,"Ribeirão Preto, Brasil",1820,Positivo,1,Positivo
1352,anoth excellent result from will continu to support to combat transnat organized crim particularly with respect to the illicit trafficking of narcotic @,"Nairobi, Kenia",1486,Positivo,1,Positivo
2797,aqu df telefon faz denunc so receb ligaco fix tamb ir caix me pass ach auxili hav sum esta dan sao consci responsa,Brasil,3598,Negativo,0,Negativo
323,ps ira ler escrev,Brasil,340,Neutro,2,Neutro
1469,apreend quas 3 tonel cocain port sant litor sp drog escond carg bobin alumini lev holand mai apreensa cocain ja feit local,,1167,Positivo,1,Positivo
38,denunc dev part fiscal receit pun jornal pres revist apreend sit bloque #stfvergonhanac com lagost legisl desrespeit vot vot ness corrupt cpi lav tog,,21,Negativo,0,Negativo
1204,indic procur respost respons entreg devoluca manusei guard integr cobranc tribut operaco informaco localizaca remess postal correi,"São Vicente, Brasil",283,Neutro,2,Neutro
1437,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,,180,Positivo,1,Positivo
2384,mei dest declar q impost sera pag dia d hor h cancel venc anteri dat,Sao Paulo,113,Negativo,0,Neutro
1702,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,,830,Positivo,1,Positivo
3031,parab agor falt rach propin poli,,8,Positivo,1,Negativo
48,parab feliz aniversari,"São Paulo, Brasil",217,Positivo,1,Positivo
2239,ser alg simpl ja faz 3h to sit,"São Paulo, Brasil",90,Negativo,0,Negativo
2612,nao ta feder,"Niterói, Brasil",33526,Neutro,2,Negativo
431,tal ach fei espelh,"São José dos Campos, Brasil",40,Neutro,2,Neutro
1733,#arrecadaca arrecadaca total receit feder ating novembr 2020 val 140 101 milho period acumul jan novembr 2020 arrecadaca alcanc val 1 320 325 milho saib mais #rfb,Brasil ,8,Positivo,1,Positivo
2158,tud pag impost rend dev,Brasília-DF Brasil,3522,Neutro,2,Negativo
1137,nunc vou sar fer ter perd lagost fiz croch caix escrit destinatari remet pro lug err dav devolv pref q algu diss q caiu mar peg fog roub,,37,Negativo,0,Negativo
1219,precis regular dad cadastr pesso fisic #cpf disponibiliz canal virtual gratuit serv vej,Brasília/DF,163455,Positivo,1,Positivo
32,tax,,129,Positivo,1,Negativo
1628,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,,1938,Positivo,1,Positivo
1740,#arrecadaca arrecadaca total receit feder ating novembr 2020 val 140 101 milho period acumul jan novembr 2020 arrecadaca alcanc val 1 320 325 milho saib mais #rfb,São Paulo/SP - Brazil,660,Positivo,1,Positivo
2790,ajud ai,"Belo Horizonte, Minas Gerais",2118,Negativo,0,Negativo
2422,olh q louc polic feder mpf usa convers traf ileg mad cont cresc apreenso mad brasil ta falt algu ai ah conden proib ibam viaj,São Paulo/SP Brasil,5429,Neutro,2,Neutro
1240,descart taxaca grand fortun vergonh rfb dar declaraca porc dess prim indic taxaca pi aind diz facil burl sistem,,1279,Negativo,0,Negativo
1391,3o grup logis prest apoi transport mater do doaco esta it medicoshospital equip eletron informa #maoamig #juntossomosmaisfort,,230,Positivo,1,Positivo
2431,olh q louc polic feder mpf usa convers traf ileg mad cont cresc apreenso mad brasil ta falt algu ai ah conden proib ibam viaj,"Fortaleza, Brasil",46,Neutro,2,Neutro
3035,carn lea 2021,,16,Negativo,0,Negativo
2327,quer acredit niss ja vim gener mar fofoc ja vim outr gener us abin encobr corrupca filh presid fat sao pes contr gener,"Fortaleza, Brasil",6492,Negativo,0,Negativo
1311,ser 2021 conseguira forc entr tesour igrej melhor cham lavand igrej,"Camaquã, Brasil",177,Positivo,1,Positivo
1011,170 pesso frent esp dia int ser atend final atend pess ajud ajud,Guarulhos- São Paulo,594,Negativo,0,Negativo
2092,apreend cerc 3 mil kg cocain escond carg port sant destin holand segund receit mai apreensa drog port carg entreg ira investig cas,,1308,Positivo,1,Positivo
2717,problem emissa dezembr 2020 previsa normal,Belem do PA Brasil,58,Negativo,0,Negativo
1334,precis regular dad cadastr pesso fisic #cpf disponibiliz canal virtual gratuit serv vej,"Rio de Janeiro, Brasil",36,Positivo,1,Positivo
1774,#receitafeder #apreensaohistor #sant #acoesdareceit #areceitafederalnaop,,5645,Positivo,1,Positivo
2412,acus glob faz associaca crimin at alem ter mam ano govern petist glob aind soneg impost mamat acab,,8,Neutro,2,Neutro
1402,concord vc,,624,Positivo,1,Negativo
1423,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,Litoral Norte,410,Positivo,1,Positivo
270,pesso comec invest bols ve ja ta soneg impost daqu pouc vir membr u*icamp li*r,,70,Neutro,2,Neutro
31,tax,,128,Positivo,1,Negativo
152,bel vo ir la imprim dinh,@vitor.doprat,196,Neutro,2,Negativo
2693,olh iss,Porto Alegre ,2380,Negativo,0,Neutro
1114,pag vei comprov aparec period real permanec la dentr vej ai tao tud cert declaraco estap allpark empreend,away ,250,Positivo,1,Negativo
2087,hoj tod serv govern cort mai min coniv tud aind fal instituico brasil sao fort pal pi pront,,146,Negativo,0,Negativo
2086,hoj tod serv govern cort mai min coniv tud aind fal instituico brasil sao fort pal pi pront,,624,Negativo,0,Negativo
1181,pod reavali contrat incen fiscal dad period atrav dest faz negociaca diret sed p continu pal ate assum fim sindicat mont,"Brasília, Brasil",65,Neutro,2,Neutro
2083,hoj tod serv govern cort mai min coniv tud aind fal instituico brasil sao fort pal pi pront,,183,Negativo,0,Negativo
2751,produt correi par curitib desd dia 05/01 statu encaminh fiscalizaca produt la send trat lix correi serv lix resolv nad etc rfb responsa fiscalizaca,,0,Negativo,0,Negativo
2584,sao poder cois nenhum poder dev ser otari pag impost control federal/cpf trabalh dec p/sustent porr d/mordom d/513+81 quas tod band brasil assemelh cao vir lat,"Teresina, Brasil",8234,Negativo,0,Negativo
1684,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,,3175,Positivo,1,Positivo
1544,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,,544,Positivo,1,Positivo
253,kkkkkkkkkk pelam perd mo temp declar impost dess gent ai,,129,Neutro,2,Negativo
1956,autu 3 994 contribuint autorregulariz autu contribuint regulariz apo ter sid alert inconsistenc declaraco saib mais #rfb #regularizaca #fiscalizaca,"Uberlândia, Brasil",7,Positivo,1,Positivo
2596,segund ela exist organizaca crimin instal pass ileg informaco fiscal orga control coaf investigaco dirig contr poli empresari etc +,"Rio Grande do Sul, Brasil",312,Negativo,0,Negativo
512,lul,Urai - Pr,74,Neutro,2,Neutro
2311,verdad ment ment pantom patusc ment feder ment feder ment feder tre vez diz ment,   Nova Petrópolis,2552,Negativo,0,Negativo
939,integr ia fal reval medic,"Paraná, Brasil",431,Neutro,2,Neutro
1675,pf cooperaca deflagr operaca fim tunel final apur possi crim corrupca lav dinh organizaca crimin rio jan saib mais,Brasil,137,Positivo,1,Positivo
1974,#receitafeder cad voc verific ganh sombr sugesta procur ir atr dinh misteri sleeping giant brasil,"Vila Velha-ES, Brasil",3579,Negativo,0,Negativo
601,aind assim,,606,Negativo,0,Negativo
2831,final ach algu gost faz comec s termin,"arabia saudita, alahu akbar ",193,Neutro,2,Neutro
2049,flavi bolsonar advog tre reunio ped dad ate aparelh, Brasil,294,Negativo,0,Negativo
67,porr rend obvi q car fak so pq senh supr discord ancap vc ach q algu nick ancapsupr eu vc mt boom msm,,37,Neutro,2,Negativo
2841,funcionari fantasm so vc pod,,180,Neutro,2,Negativo
2647,apes ter sid legitim eleit hoj pra poli proautoritar desprez process eleitor suspeit intervenca cooptaca instituico abin polic feder ha metod ness atitud #bolsonaroarmagolp,"Salvador, BA, Brasil",2260,Neutro,2,Neutro
2476,esper cert ti aqu tbm tav muit cois atol fod 0 suport respost,"Campo Grande, MS",239,Negativo,0,Negativo
2042,flavi bolsonar advog tre reunio ped dad ate aparelh,,315,Negativo,0,Negativo
2816,to mesm situaca alo,"Rio de Janeiro, Brasil",1043,Negativo,0,Negativo
1902,correca gratuit internet cust 7 real cas contribuint opt utiliz red conveni banc brasil caix econom correi cartori saib mais #receitafeder #cpf #atend,Brasil ,8,Positivo,1,Positivo
2960,antig sim aux administr,"Pará, Brasil",5826,Neutro,2,Neutro
2617,fal hoj iss ai isc,"Rio de Janeiro, Brasil",107,Neutro,2,Negativo
644,particip leilo,,2,Neutro,2,Neutro
2472,ach faz tod sent man idiossincras so serv publ brasil possi exist pqp pi perd receit idiot,Belém,24,Negativo,0,Negativo
920,pod coment estud fossil dinossaur brasil estranh poss univers rein unid,São Paulo,924,Negativo,0,Negativo
1432,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,Brasil,448,Positivo,1,Positivo
755,pod par dor alfandeg excess compr etc,,238,Neutro,2,Negativo
1366,correca pendenc relat #cpf gratuit internet ou cas contribuint opt utiliz red conveni cartori cust 7,,488,Positivo,1,Positivo
1609,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,"Boa Vista, Brasil",448,Positivo,1,Positivo
2214,ment,sp z/o ,644,Negativo,0,Negativo
204,gent pag salari vc mesm,Princesinha do Mar ,572,Negativo,0,Negativo
2910,hoj aniversari mand salv,Почему вы читаете это?,86,Neutro,2,Neutro
2932,kkkkkk,"Amoedolândia,  2%, Nárnia ",453,Neutro,2,Neutro
3037,favel,Brazil,177,Negativo,0,Negativo
1520,#operacaoconcord deflagr apoi polic militar/rn polic civil/rn corp bombeiros/rn saib em,"Fortaleza, Brasil",635,Positivo,1,Positivo
554,vam ter uma complicaco brev hein vou atras um bolet ai,,65,Neutro,2,Negativo
1886,aca fiscalizaca acontec ambit operaca escud apreend 320 mil mercad saib mais #receitafeder #adu #operacaoescud,Praia Grande - SP,1081,Positivo,1,Positivo
2269,prim rol context caminh matinais/supermercado/farmac vou dar mor bh mesm ir feder,Belo Horizonte | Teresina,5020,Negativo,0,Negativo
2805,diss tud,"Sao Paulo, Brazil",25650,Negativo,0,Negativo
1810,#restituica abr nest tercaf 22 10h consult lot resid restituica irpf me dez/2020 credit bancari 202 388 contribuint ser realiz 30/12 totaliz 354 milho consult #irpf,"Sumidouro, RJ",491,Positivo,1,Positivo
594,financi part futebol indev font tendenc imped penalt anul absurd,"São Paulo, Brasil",446,Neutro,2,Negativo
1160,imagin volum dorg govern anteri parab,São José dos Campos ,316,Positivo,1,Positivo
963,#corinth doi ano club est pag fgt funcionari corinth,"Springfield,    AC⚡DC  ",4814,Neutro,2,Neutro
719,consig us sistem sal ger contribuica individ 01/2021 algum previsa resolv problem diz val salari reconhec,,281,Negativo,0,Negativo
543,ser liber versa 2021 carnelea ja 1a quinzen jan/21,,14893,Negativo,0,Negativo
2209,avis tao cheg adm consegu par irrrraaaaaaaaaaaaaa,Twiceland 🍭,846,Negativo,0,Negativo
130,jur sab aluguel tempor cas veranei final ano epoc fest fest pens coloc clausul contrat locaca tempor bom chec declaraco ano anteri alug sempr,Brasil,248,Positivo,1,Positivo
1824,#vacin viracop lib rapid mai lot vacin covid19 receb pal operaca espec vesp natal liber form cel cerc 5 5 milho dos imuniz saib mais #covid19 #rfb #viracop,,114,Positivo,1,Positivo
1360,sei n audit bem feit n dev fic pedr pedr apresent representaca crim contr glob 12 celebr crim contr ord tribut,,143,Positivo,1,Positivo
2829,trabalh carol que,,27,Neutro,2,Neutro
1080,and situaca dest cidada fisc brasil,"São Paulo, Brasil",11049,Neutro,2,Neutro
1472,apreend quas 3 tonel cocain port sant litor sp drog escond carg bobin alumini lev holand mai apreensa cocain ja feit local,Itu - SP.,3782,Positivo,1,Positivo
2018,flavi bolsonar advog tre reunio ped dad ate aparelh,,361,Negativo,0,Negativo
1885,aca fiscalizaca acontec ambit operaca escud apreend 320 mil mercad saib mais #receitafeder #adu #operacaoescud,Brasil,336,Positivo,1,Positivo
849,perfil ligaca,,786,Neutro,2,Neutro
2301,so p faz vir paranav,"Nova Esperança, Paraná, Brasil",715,Negativo,0,Negativo
362,correca tabel impost rend font isenca ir ate r$4 999 99 urgentiss espec aposent invalid #dign,Vitória ES,87,Negativo,0,Negativo
2004,flavi bolsonar advog tre reunio ped dad ate aparelh,"Rio de Janeiro, Brasil",262,Negativo,0,Negativo
2914,legal,,1,Neutro,2,Neutro
2832,kkakkakakakkaksk vsf man amakakkakakak aqu gangu carec,ancapistão,433,Neutro,2,Neutro
257,acus roub dinh publ advog tre reunio ped dad,Fortaleza Ceará,3338,Neutro,2,Neutro
2899,cad covida sao paul socorr polic dit govern est,,699,Negativo,0,Negativo
3052,ora dai grac ministr populaca ta acredit investigaco polic feder dinh deix rastr nov grac ministr #stfvergonhanac dinh desvi pod ser rastre,fortaleza. city natal cedro-ce,10989,Negativo,0,Negativo
400,ja pens trabalh iri dar volt dorm,Brazil,496,Negativo,0,Negativo
2326,bom dia acab receb mens diz cont fech tratas golp clic link redirecion pagin fals ped usuari senh banc sei trat sit fals caus numer #alert,,13,Neutro,2,Neutro
2776,alo,"Fortaleza, Brasil",191,Negativo,0,Negativo
2622,*lavajat deflagr operaca vernissag cidad sao luil ma brasil df rio jan rj*,"São Paulo, Brasil",534,Neutro,2,Neutro
1282,parab,"Minas Gerais, Brasil",3662,Positivo,1,Positivo
2191,alo feder,,8824,Negativo,0,Negativo
1133,olh sempr negoci famil eduard pazuell mir faz temp nunc esquec sei por sao orga est govern operaca sauv,Brasil,35019,Neutro,2,Neutro
1840,drog carg goiab export antuerp belg carg selecion conferenc mei criteri obje analis risc inclu inspeca intrus imag escan #acoesdareceit #adu #rfb #sant,Brasil ,8,Positivo,1,Positivo
1523,#operacaoconcord deflagr apoi polic militar/rn polic civil/rn corp bombeiros/rn saib em,,7384,Positivo,1,Positivo
2129,pendenc cpf pod us canal virtual faz regularizaca sab situaca cadastr contribuint dev acess sit baix aplic cpf digit celul abr,Curitiba-Brazil -Creci20968f,1439,Positivo,1,Positivo
489,iss tir foc ment acus terceiriz culp assum respons verdad merd cov acu tenent bund suj pe chinel conhec #pedeprasairbolsonar,Brasil / RJ - Campo Grande,813,Neutro,2,Neutro
703,fronteir blind atu impact seguranc publ repressa crim transfronteir #aduanadobrasil #adu #repressa,Estados Unidos,550,Positivo,1,Positivo
815,uau relev hein jur voc nad melhor faz notici iss,Dublin,415,Negativo,0,Negativo
1323,contribuint caiu malh fin concord val mult lanc pod apresent defês mei ecac part hoj 7 propri sistem ha informaco preench defês informaco abr,Brasil,2311,Positivo,1,Positivo
2322,curitib feder,BRASIL-SÃO JOSE DOS CAMPOS,2866,Neutro,2,Neutro
1056,atenca precis regular dad cadastr pesso fisic #cpf disponibiliz canal virtual gratuit serv vej,CEARÁ S C !!!,1346,Positivo,1,Positivo
242,gmt+01 vfarc ursal cal sera algoz tod cast podr aind furt contribuint les porqu meli imprens consid licitud atitud lez particip deposit infiel georgetown sera cobr,"New York, NY",12,Neutro,2,Neutro
20,assim vc conseg lav milho bem rap levant suspeit feder,"Ingá, Niterói",23,Negativo,0,Negativo
998,abr hoj 22 consult lot resid restituica #impostoderend credit bancari 200 mil contribuint ser realiz 30 dezembr informaco,Brasília/DF,163120,Positivo,1,Positivo
293,ignoranc,Gabinete do Ódio,15016,Neutro,2,Neutro
61,mem ning sab nunc ouv fal,"São Paulo, Brasil",66,Neutro,2,Neutro
1798,#record manh 22/12 equip alfandeg sant apreend 2 932 kg cocain drog cuidados ocult carreg bobin alumini destin port roterd holand saib mais #rfb #adu,,46,Positivo,1,Positivo
988,apreend cerc 3 mil kg cocain escond carg port sant destin holand segund receit mai apreensa drog port carg entreg ira investig cas,Brasília - DF,299248,Positivo,1,Positivo
949,tod esforc recompens algum form dia melhor form posi enta sig frent sempr sucess,São Paulo/Brazil,367,Neutro,2,Neutro
1038,alo alo ser vc pod ajud parcel segur desempreg par cair desd outubr apo solicitaca recalcul,"Natal, Rio Grande do Norte ",239,Negativo,0,Negativo
1566,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,"Sidney, British Columbia",355,Positivo,1,Positivo
2714,ha dia mens tent emit simpl nacion venc amanh receb tod voc fing est tud norm faz part plan acab simpl nacion pq pod ser tud menos norm,Brasil,531,Negativo,0,Negativo
1342,pass ladra tir presid empr vend lobby ver orig des fortun,MG/BR,12300,Neutro,2,Neutro
84,dorm zzzzzzzzzzzzzz,Brasil 𓇼𓆉 ⧖ ᱬ ⍟⃝    🍂🍁,751,Negativo,0,Negativo
992,inform program ger document arrecadaca simpl nacion microempreend individ pgm send ajust adequaca calcul #ins bas nov val salari min agenc brasil /arq,Brasília/DF,163617,Positivo,1,Positivo
2573,silenci compr ensurdec tax log merd vi,,737,Negativo,0,Negativo
2246,to lev coc di ness bglh kkkkk,,817,Negativo,0,Negativo
2962,naveg edg ta ind,Taboão da Serra/SP,100,Neutro,2,Neutro
1719,#areceitafederalnaop apreend 670 kg cocain carg goiab port sant soment 2020 alfandeg sant intercept 20 5 tonel cocain carg exportaca destin europ saib mais,Londrina,1598,Positivo,1,Positivo
1452,agor sab realiz sonh ser #empreend form conhec parc apo jorn,"Manaus, Brasil",499,Positivo,1,Positivo
2998,capit gir cad bnd,,117,Neutro,2,Neutro
884,brev ministr stf vao ter prest informaco pov vai fic sab quant sao vend habe corpu sentenc geral,,275,Neutro,2,Neutro
1653,#atend | inform pendenc relat cadastr pesso fisic cpf pod ser regular mei canal virtual atend vem sab mais,Brasil,294,Positivo,1,Positivo
3057,ora dai grac ministr populaca ta acredit investigaco polic feder dinh deix rastr nov grac ministr #stfvergonhanac dinh desvi pod ser rastre,Brasil,5382,Negativo,0,Negativo
1627,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,,65,Positivo,1,Positivo
424,nad twitt defen band mentir,"Santo Amaro, São Paulo",299,Neutro,2,Neutro
3056,ora dai grac ministr populaca ta acredit investigaco polic feder dinh deix rastr nov grac ministr #stfvergonhanac dinh desvi pod ser rastre,,132,Negativo,0,Negativo
2104,contribuint caiu malh fin concord val mult lanc pod apresent defês mei ecac part hoj 7 propri sistem ha informaco preench defês informaco abr,SALVADOR - BAHIA,876,Positivo,1,Positivo
2648,apes ter sid legitim eleit hoj pra poli proautoritar desprez process eleitor suspeit intervenca cooptaca instituico abin polic feder ha metod ness atitud #bolsonaroarmagolp,"Rio de Janeiro, Brasil",255,Neutro,2,Neutro
608,aposent ate 4 salari min dev pag impost tre pod brasil serv alt escala sim pod,,4,Negativo,0,Negativo
1651,#atend | inform pendenc relat cadastr pesso fisic cpf pod ser regular mei canal virtual atend vem sab mais,POR AÍ...,9902,Positivo,1,Positivo
1140,so quer pag impost parec contribu mesm #me #pgm #da,São Paulo,631,Negativo,0,Negativo
1424,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,Natal - Brasil,999,Positivo,1,Positivo
510,vai fic 256 milho respir fantasm vai fic mesm,Brasil,1587,Neutro,2,Neutro
444,cad voc precis contat urgent respond,,0,Negativo,0,Negativo
93,noss apo cens cont slb ser encontr alg err ness cont financ ser ha complianc pld,"São Paulo, Brasil",4020,Neutro,2,Neutro
2809,ja tent 5 naveg agor deu cert ger um impratica,"Sao Paulo, Brazil",25650,Negativo,0,Negativo
2377,cruz vir covil ladro ali hav operaca pent fin pf junt audit pesadiss feder garant 99% censelh vai ter algum tret explic,Brazil ,267,Negativo,0,Negativo
1348,in with the historic seizur of 3 ton of cocain in theof sant the drug wa concealed in aluminum coil destined count on s continued support,Cameroon,97,Positivo,1,Positivo
2881,doi cagaonjsndjsndjsndj,konohagakure,1442,Neutro,2,Neutro
2505,import algum vez receit inclusiv td pass anvis dp cheg ult vez n cheg anvis descart,Hell's Dreams,321,Negativo,0,Negativo
2186,sofr demal dol ness val cobr pag quas,Jın's fıancee O1O72O 💍 2O122O,3311,Negativo,0,Negativo
2115,autu 3 994 contribuint autorregulariz apo ter sid alert inconsistenc declaraco agenc brasil,Brasil,277,Positivo,1,Positivo
2260,obrig deix quas 30 minut telefon sextooo,Marechal Cândido Rondon,106,Negativo,0,Negativo
2906,caminh #querobolsonaroate2026,"São Paulo, Brazil",175,Neutro,2,Neutro
2338,ond vao lucr geni cabec seg ide radic import traz empr estrang pro brasil pag salari mis inv fortalec propr industr aument obt melh salar,"Floriano, Brasil",2497,Neutro,2,Neutro
1845,med vis mant flux rap abastec materiapr bem mercad enquant dur situaca emergenc saud publ importanc nacion saib mais #receitafeder #adu #covid19,Brasil ,8,Positivo,1,Positivo
1994,ai escandal flavi bolsonar advog reunia via @,Terra Redonda,5662,Negativo,0,Negativo
1048,alo usuari twitt acab declar pag impost send assim soneg #denunc #impost #receitafeder,Belém city,1,Neutro,2,Neutro
371,pod vir,,203,Neutro,2,Neutro
2915,vez repit pf dev investig psdb sp la muit verb desvi,💯Conservador,2875,Negativo,0,Negativo
2417,alo advtwitt ess ach nunc use rs algum sit link alg assim consig ach inform pj microempr epp,,1403,Negativo,0,Negativo
335,ment aparelh milici pratic peculat engan 57 milho idiot #impeachmentdebolsonarourg,,1767,Negativo,0,Negativo
2532,car pau produt descrit tod cant mostr produt val u$35 pachorr met r$531 send mai alt dol u$35 prec,Brasil,73,Negativo,0,Negativo
3059,ser atual inclusa 2021 app carn lea feder,,14935,Negativo,0,Negativo
809,algum ai ja autor pod tom,Goiânia,343,Neutro,2,Neutro
2979,praz solic term opca simpl nacion termin dia 29 dest me saib mais #receitafeder #serv #simplesnac #empr,"Salvador, Brazil",1174,Neutro,2,Neutro
2544,desculp ter declar aluguel kitnet 13m2 3 prat visit vinh 20 real dentr gelad clar td motiv iri roub govern,"São Paulo, Brasil",111,Negativo,0,Negativo
1918,aca realiz est sao paul apreend aproximad 300 tonel mercad import avali 23 milho dev fraude/simulaca saib mais #receitafeder #adu #apreensa,,482,Positivo,1,Positivo
2315,termin me div pag suav prestaco 5 ano,São Paulo / Curitiba,305,Neutro,2,Neutro
777,dificuldad sit sal par calcul ins atras faz forc regular ins,"Belo Horizonte, Brasil",889,Negativo,0,Negativo
73,iss ja ter liber atualizaca,,14900,Negativo,0,Negativo
2602,seri so quer farm emblem tft deit favor lib celul log ja termin 2 seri tend q farm tft notebook,araçatuba sp,507,Negativo,0,Negativo
2430,olh q louc polic feder mpf usa convers traf ileg mad cont cresc apreenso mad brasil ta falt algu ai ah conden proib ibam viaj,Parahyba,1272,Neutro,2,Neutro
2570,pres beaind ta brasil cheg vou ter pag rin pq so fod,Casa do Hobi,955,Negativo,0,Negativo
2218,jeit car sao burr sering compr ficara ret curitib ate agost junt compr ebay,"Sao Paulo, Brazil",367,Negativo,0,Negativo
292,dev investig orig patrimoni dess jov latifundiari 18 ano nunc trabalh,,92,Negativo,0,Negativo
733,sr a pod audit cont min junt,,940,Neutro,2,Neutro
2796,put par,,129,Negativo,0,Negativo
1364,correca pendenc relat #cpf gratuit internet ou cas contribuint opt utiliz red conveni cartori cust 7,Rio de Janeiro,4561,Positivo,1,Positivo
2498,dur desempreg cart cheg tod dia luz agu cort dispens vaz crianc chor fom faz sex,,637,Negativo,0,Negativo
493,sta hor vc entr cen comec investig corongavac joa dori ate simpl ignor cmo pesso sab alg estranh ness hist ja comec contrat cm xin govern diz ser sigil pod apresent,"Rio de Janeiro, Brasil",692,Neutro,2,Neutro
2026,flavi bolsonar advog tre reunio ped dad ate aparelh,"Rio de Janeiro, Brasil",1829,Negativo,0,Negativo
2213,bolsonar aparelh mpf polic feder nome ministr vassal stf utiliz abin faz relatori favor filh consequ interv feder pt nunc cheg pert diss,"Belo Horizonte, Brasil",123,Negativo,0,Negativo
2579,prend pacot caix ging bread vc ide err vc conseg fal resolver/descobr problem #festadafirm rol quart pacot unic ret conferenc,Rio de Janeiro,283,Negativo,0,Negativo
2778,cad,"Rio de Janeiro, Brasil",8041,Negativo,0,Negativo
953,porqu garant lagost vinh car excelentiss magistr,🏳️‍🌈 ela/dela,17,Negativo,0,Negativo
2163,parc rend frut menin dev rim bolsonar geni tir proveit parc form faz,"Lisbona, Portugal",242,Negativo,0,Negativo
1657,#balanc | gued prim combat cam + vulnera populaca fic disposica imped exportaca produt precisav us ventil pulmon reduz tarif 500 produt medic hospital,,1499,Positivo,1,Positivo
623,cac bem poli adquir crim vai ne agor tax uma compr internac lea aeroport pass nad,Ribeirão Das neves,210,Negativo,0,Negativo
1261,parab,"Bahia, Brasil",2106,Positivo,1,Positivo
2022,flavi bolsonar advog tre reunio ped dad ate aparelh,São Paulo,807,Negativo,0,Negativo
2860,fech empr tb dia form total digit,,19,Neutro,2,Neutro
1833,drog carg goiab export antuerp belg carg selecion conferenc mei criteri obje analis risc inclu inspeca intrus imag escan #acoesdareceit #adu #rfb #sant,"São Paulo, Brasil",2595,Positivo,1,Positivo
